: 1626436883:0;pacman -Ss ly
: 1626436886:0;pacman -Ss ly display
: 1626436908:0;sudo pacman -S ly
: 1626436921:0;sudo pacman -Ss aur
: 1626436925:0;sudo pacman -Ss aur help
: 1626436936:0;sudo pacman -S pacaur
: 1626436950:0;sudo pacman -S yay
: 1626438511:0;yay -S ly
: 1626438648:0;sudo pacman -S base-devel
: 1626438695:0;yay -S ly
: 1626439293:0;sudo pacman -S alacritty
: 1626439487:0;pacman -Ss env system
: 1626439690:0;sudo pacman -S ripgrep
: 1626440349:0;pacman -S xterm
: 1626440352:0;sudo pacman -S xterm
: 1626440668:0;sudo pacman -S picom
: 1626440957:0;yay -S nerd-fonts-fantasque-sans-mono
: 1626441107:0;sudo pacman -S udisks2
: 1626441488:0;pacman -S pcmanfm
: 1626441491:0;sudo pacman -S pcmanfm
: 1626441868:0;sudo pacman -S rsync
: 1626441946:0;pacman -S openssh
: 1626441949:0;sudo pacman -S openssh
: 1626448668:0;sudo pacman -S autorandr
: 1626448687:0;sudo pacman -S zsh-completions
: 1626448694:0;sudo pacman -Si zsh-completions
: 1626449031:0;sudo pacman -S telegram-desktop
: 1626449249:0;sudo pacman -S arandr
: 1626450180:0;sudo pacman -S firefox
: 1626450186:0;pacman -Ss fennec
: 1626450188:0;yay -Ss fennec
: 1626450206:0;pacman -S chromium
: 1626450208:0;sudo pacman -S chromium
: 1626450300:0;sudo pacman -S chromium
: 1626450348:0;sudo pacman -S chromium ttf-liberation libva-intel-driver
: 1626450602:0;sudo pacman -Syyu chromium ttf-liberation libva-intel-driver
: 1626450632:0;sudo pacman -Syyu chromium ttf-liberation libva-intel-driver
: 1626451493:0;sudo pacman -Rs xterm
: 1626454304:0;sudo pacman -S htop
: 1626454318:0;pacman -S lsof strace
: 1626454320:0;sudo pacman -S lsof strace
: 1626455010:0;pacman -Ss sxh
: 1626455028:0;pacman -S sxhkd
: 1626455030:0;sudo pacman -S sxhkd
: 1626467056:0;sudo pacman -S pyenv
: 1626468027:0;pacman -Ss emoji font
: 1626468037:0;pacman -S ttf-joypixels
: 1626468040:0;sudo pacman -S ttf-joypixels
: 1626469026:0;pacman -Si pyenv
: 1626470214:0;yay -S discord
: 1626470426:0;pacman -Ss pyenv 
: 1626470430:0;yay -Ss pyenv
: 1626470450:0;yay -S pyenv-virtualenv
: 1626474342:0;sudo pacman -S code
: 1626474387:0;sudo pacman -S code
: 1626501719:0;pacman -Ss hibernator
: 1626501724:0;pacman -Si hibernator
: 1626501787:0;pacman -Ss redshift
: 1626501792:0;sudo pacman -S redshift
: 1626502118:0;yay -Ss chezmoi
: 1626502125:0;sudo pacman -S chezmoi
: 1626502766:0;sudo pacman -S telegram-desktop
: 1626502861:0;sudo pacman -S pipewire-alsa pipewire-pulse pipewire-jack 
: 1626502881:0;sudo pacman -S pipewire-alsa pipewire-pulse pipewire-jack pipewire-docs gst-plugin-pipewire
: 1626502975:0;pacman -Ss whatsapp
: 1626502998:0;sudo pacman -S whatsapp-for-linux whatsapp-web-jak
: 1626503007:0;sudo pacman -S whatsapp-web-jak
: 1626503019:0;sudo pacman -S whatsapp-for-linux
: 1626503057:0;sudo pacman -S whatsapp-web-jak
: 1626503243:0;sudo pacman -S youtube-dl
: 1626504507:0;pacman -Ss video player
: 1626504545:0;sudo pacman -S xjadeo
: 1626504554:0;sudo pacman -S xine-ui
: 1626504571:0;sudo pacman -S smplayer
: 1626504798:0;pacman -S --help | grep flag
: 1626504802:0;pacman -S --help | grep expl
: 1626504844:0;sudo pacman -Rs smplayer
: 1626504862:0;sudo pacman -S smplayer
: 1626504871:0;sudo pacman -Rssnu smplayer
: 1626504919:0;sudo pacman -S openssh mpv
: 1626504969:0;pacman -S youtube-dl
: 1626504972:0;sudo pacman -S youtube-dl
: 1626504975:0;pacman -S youtube-dl
: 1626510539:0;pacman -S starship
: 1626510541:0;sudo pacman -S starship
: 1626510558:0;pacman -S noto-fonts-emoji
: 1626510560:0;sudo pacman -S noto-fonts-emoji
: 1626510580:0;sudo pacman -Rs noto-fonts-emoji
: 1626510764:0;sudo pacman -Rssnu ttf-joypixels
: 1626510831:0;sudo pacman -S noto-fonts-emoji
: 1626510851:0;yay -Ss nerd emoji
: 1626510862:0;yay -Ss nerd emo
: 1626510867:0;yay -Ss emoji
: 1626510874:0;yay -Ss emoji font
: 1626511007:0;sudo pacman -Scc
: 1626515121:0;pacman -Si code visual
: 1626515517:0;sudo pacman -S xclip
: 1626529247:0;pacman -Si fxf
: 1626529250:0;pacman -Si fzf
: 1626529273:0;pacman -Si ofono | grep desci
: 1626529274:0;pacman -Si ofono | grep descr
: 1626529276:0;pacman -Si ofono | grep escr
: 1626529285:0;pacman -S fxf
: 1626529287:0;pacman -S fzf
: 1626529290:0;sudo pacman -S fzf
: 1626529425:0;sudo pacman -Rssnu fzf
: 1626530364:0;pacman -Si code
: 1626530381:0;pacman -Ss zsh-completions
: 1626530805:0;pacman -Ss downgrade
: 1626530809:0;sudo pacman -S downgrade
: 1626531017:0;pacman -Ss code oss
: 1626531024:0;yay -Ss code oss
: 1626531184:0;sudo pacman -Rs code
: 1626531188:0;sudo pacman -Rsnu code
: 1626531202:0;pacman -Ss flatpack
: 1626531207:0;yay -Ss flatpack
: 1626531264:0;yay -Ss flatpak
: 1626531272:0;sudo pacman -S flatpak
: 1626531768:0;pacman -Scc
: 1626531771:0;sudo pacman -Scc
: 1626534193:0;yay -Ss code oss
: 1626534306:0;yay -Ss code visual
: 1626534719:0;pacman -Ss A.L.A.
: 1626534726:0;pacman -Ss 'A.L.A.'
: 1626544878:0;sudo pacman -S xf86-video-intel
: 1626546298:0;sudo pacman -S virtualbox
: 1626546333:0;yay -Ss libva intel dkms
: 1626546344:0;yay -Ss intel dkms
: 1626546375:0;yay -Ss linux zen
: 1626546381:0;yay -Ss linux zen kernel
: 1626546485:0;yay -Ss linux zen lts
: 1626546517:0;pacman -Ss linux zen
: 1626546586:0;pacman -S virtualbox
: 1626546589:0;sudo pacman -S virtualbox
: 1626546662:0;sudo pacman -S virtualbox
: 1626546768:0;sudo pacman -Syu
: 1626546770:0;sudo pacman -Syuu
: 1626547169:0;sudo pacman -Syuu
: 1626547596:0;yay -Ss electron7
: 1626547650:0;pacman -Syuu
: 1626547651:0;sudo pacman -Syuu
: 1626547660:0;sudo pacman -S electron
: 1626547676:0;yay -S electron7-bin
: 1626547808:0;sudo pacman -Rssnu electron12
: 1626547811:0;sudo pacman -Rssnu electron7-bin
: 1626547814:0;sudo pacman -Rssnu electron
: 1626547827:0;sudo pacman -Scc
: 1626549739:0;sudo pacman -S scrot
: 1626549756:0;sudo pacman -S backlight
: 1626549758:0;sudo pacman -Ss backlight
: 1626549828:0;sudo pacman -S light
: 1626549942:0;sudo pacman -S amixer
: 1626549954:0;sudo pacman -S alsa-utils
: 1626550158:0;sudo pacman -Rssnu alsa-utils
